,Date,Country,Day
0,2021-01-01,Aland Islands,New Year's Day
1,2021-03-30,Aland Islands,Demilitarization Day
2,2021-04-02,Aland Islands,Good Friday
3,2021-04-04,Aland Islands,Easter Sunday
4,2021-04-05,Aland Islands,Easter Monday
5,2021-04-30,Aland Islands,Walpurgis Night
6,2021-05-01,Aland Islands,May Day
7,2021-05-13,Aland Islands,Ascension Day
8,2021-05-23,Aland Islands,Pentecost
9,2021-05-24,Aland Islands,Whit Monday
10,2021-06-01,Aland Islands,Epiphany
11,2021-06-09,Aland Islands,Autonomy Day
12,2021-06-18,Aland Islands,Midsummer Eve
13,2021-06-19,Aland Islands,Midsummer Day
14,2021-11-06,Aland Islands,All Saints Day
15,2021-12-06,Aland Islands,Independence Day
16,2021-12-24,Aland Islands,Christmas Eve
17,2021-12-25,Aland Islands,Christmas Day
18,2021-12-26,Aland Islands,St. Stephen's Day
19,2021-01-01,Albania,New Year's Day
20,2021-01-02,Albania,New Year's Day
21,2021-03-14,Albania,Summer Day
22,2021-03-22,Albania,Nowruz
23,2021-05-01,Albania,May Day
24,2021-05-02,Albania,Easter Sunday
25,2021-05-03,Albania,Easter Monday
26,2021-10-19,Albania,Mother Teresa Day
27,2021-11-28,Albania,Independence Day
28,2021-11-29,Albania,Liberation Day
29,2021-12-08,Albania,Youth Day
30,2021-12-25,Albania,Christmas Day
31,2021-01-01,Andorra,New Year's Day
32,2021-03-14,Andorra,Constitution Day
33,2021-03-14,Andorra,National Holiday
34,2021-12-25,Andorra,Christmas Day
35,2021-01-01,Argentina,New Year's Day
36,2021-02-15,Argentina,Carnival
37,2021-02-16,Argentina,Carnival
38,2021-03-24,Argentina,Day of Remembrance for Truth and Justice
39,2021-04-02,Argentina,Day of the Veterans and Fallen of the Malvinas War
40,2021-04-02,Argentina,Good Friday
41,2021-05-01,Argentina,Labour Day
42,2021-05-25,Argentina,May Revolution
43,2021-06-17,Argentina,Anniversary of the Passing of General Martín Miguel de Güemes
44,2021-06-20,Argentina,General Manuel Belgrano Memorial Day
45,2021-07-09,Argentina,Independence Day
46,2021-08-16,Argentina,General José de San Martín Memorial Day
47,2021-10-11,Argentina,Day of Respect for Cultural Diversity
48,2021-11-20,Argentina,National Sovereignty Day
49,2021-12-08,Argentina,Immaculate Conception Day
50,2021-12-25,Argentina,Christmas Day
51,2021-01-01,Australia,New Year's Day
52,2021-01-26,Australia,Australia Day
53,2021-03-01,Australia,Labour Day
54,2021-03-08,Australia,Canberra Day
55,2021-03-08,Australia,March Public Holiday
56,2021-03-08,Australia,Eight Hours Day
57,2021-03-08,Australia,Labour Day
58,2021-04-02,Australia,Good Friday
59,2021-04-03,Australia,Holy Saturday
60,2021-04-04,Australia,Easter Sunday
61,2021-04-05,Australia,Easter Monday
62,2021-04-25,Australia,Anzac Day
63,2021-05-03,Australia,May Day
64,2021-05-03,Australia,Labour Day
65,2021-05-31,Australia,Reconciliation Day
66,2021-06-07,Australia,Western Australia Day
67,2021-06-14,Australia,Queen's Birthday
68,2021-08-02,Australia,Picnic Day
69,2021-10-04,Australia,Labour Day
70,2021-12-25,Australia,Christmas Day
71,2021-12-27,Australia,St. Stephen's Day
72,2021-01-01,Austria,New Year's Day
73,2021-01-06,Austria,Epiphany
74,2021-04-05,Austria,Easter Monday
75,2021-05-01,Austria,National Holiday
76,2021-05-13,Austria,Ascension Day
77,2021-05-24,Austria,Whit Monday
78,2021-06-03,Austria,Corpus Christi
79,2021-08-15,Austria,Assumption Day
80,2021-10-26,Austria,National Holiday
81,2021-11-01,Austria,All Saints' Day
82,2021-12-08,Austria,Immaculate Conception
83,2021-12-25,Austria,Christmas Day
84,2021-12-26,Austria,St. Stephen's Day
85,2021-01-01,Bahamas,New Year's Day
86,2021-01-11,Bahamas,Majority Rule Day
87,2021-04-02,Bahamas,Good Friday
88,2021-04-02,Bahamas,Perry Christie Day
89,2021-04-05,Bahamas,Easter Monday
90,2021-05-24,Bahamas,Whit Monday
91,2021-07-10,Bahamas,Independence Day
92,2021-08-06,Bahamas,Emancipation Day
93,2021-10-11,Bahamas,National Heroes' Day
94,2021-12-25,Bahamas,Christmas Day
95,2021-12-26,Bahamas,St. Stephen's Day
96,2021-01-01,Barbados,New Year's Day
97,2021-01-21,Barbados,Errol Barrow Day
98,2021-04-02,Barbados,Good Friday
99,2021-04-05,Barbados,Easter Monday
100,2021-04-28,Barbados,National Heroes' Day
101,2021-05-01,Barbados,Labour Day
102,2021-05-24,Barbados,Whit Monday
103,2021-08-01,Barbados,Emancipation Day
104,2021-08-02,Barbados,Kadooment Day
105,2021-11-30,Barbados,Independence Day
106,2021-12-25,Barbados,Christmas Day
107,2021-12-26,Barbados,Boxing Day
108,2021-01-01,Belarus,New Year's Day
109,2021-01-07,Belarus,Orthodox Christmas Day
110,2021-03-08,Belarus,International Women's Day
111,2021-05-01,Belarus,Labour Day
112,2021-05-09,Belarus,Victory Day
113,2021-05-11,Belarus,Commemoration Day
114,2021-07-03,Belarus,Independence Day
115,2021-11-07,Belarus,October Revolution Day
116,2021-12-25,Belarus,Catholic Christmas Day
117,2021-01-01,Belgium,New Year's Day
118,2021-04-04,Belgium,Easter Sunday
119,2021-04-05,Belgium,Easter Monday
120,2021-05-01,Belgium,Labour Day
121,2021-05-13,Belgium,Ascension Day
122,2021-05-24,Belgium,Whit Monday
123,2021-07-21,Belgium,Belgian National Day
124,2021-08-15,Belgium,Assumption Day
125,2021-11-01,Belgium,All Saints' Day
126,2021-11-11,Belgium,Armistice Day
127,2021-12-25,Belgium,Christmas Day
128,2021-01-01,Belize,New Year's Day
129,2021-03-08,Belize,Baron Bliss Day
130,2021-04-02,Belize,Good Friday
131,2021-04-03,Belize,Holy Saturday
132,2021-04-04,Belize,Easter Sunday
133,2021-04-05,Belize,Easter Monday
134,2021-05-03,Belize,Labour Day
135,2021-05-24,Belize,Commonwealth Day
136,2021-09-10,Belize,Saint George's Caye Day
137,2021-09-21,Belize,Independence Day
138,2021-10-11,Belize,Day of the Americas
139,2021-11-19,Belize,Garifuna Settlement Day
140,2021-12-26,Belize,Boxing Day
141,2021-12-27,Belize,Christmas Day
142,2021-01-01,Benin,New Year's Day
143,2021-01-10,Benin,Traditional Day
144,2021-04-04,Benin,Easter Sunday
145,2021-04-05,Benin,Easter Monday
146,2021-05-01,Benin,Labour Day
147,2021-05-13,Benin,Ascension Day
148,2021-05-24,Benin,Whit Monday
149,2021-08-01,Benin,Independence Day
150,2021-08-15,Benin,Assumption Day
151,2021-10-26,Benin,Armed Forces Day
152,2021-11-01,Benin,All Saints' Day
153,2021-11-30,Benin,National Day
154,2021-12-25,Benin,Christmas Day
155,2021-12-26,Benin,St. Stephen's Day
156,2021-01-01,Bolivia,New Year's Day
157,2021-02-02,Bolivia,Feast of the Virgin of Candelaria
158,2021-02-15,Bolivia,Carnival
159,2021-02-16,Bolivia,Carnival
160,2021-04-02,Bolivia,Good Friday
161,2021-05-01,Bolivia,Labour Day
162,2021-06-03,Bolivia,Corpus Christi
163,2021-06-21,Bolivia,Andean New Year
164,2021-08-02,Bolivia,Agrarian Reform Day
165,2021-08-06,Bolivia,Independence Day
166,2021-11-02,Bolivia,All Saints' Day
167,2021-12-25,Bolivia,Christmas Day
168,2021-01-01,Botswana,New Year's Day
169,2021-04-02,Botswana,Good Friday
170,2021-04-05,Botswana,Easter Monday
171,2021-05-01,Botswana,Labour Day
172,2021-05-13,Botswana,Ascension Day
173,2021-07-01,Botswana,Sir Seretse Khama Day
174,2021-07-19,Botswana,Presidents' Day
175,2021-09-30,Botswana,Independence Day
176,2021-10-01,Botswana,Botswana Day holiday
177,2021-12-25,Botswana,Christmas Day
178,2021-12-26,Botswana,St. Stephen's Day
179,2021-01-01,Chile,New Year's Day
180,2021-04-02,Chile,Good Friday
181,2021-04-03,Chile,Holy Saturday
182,2021-05-01,Chile,Labour Day
183,2021-05-21,Chile,Navy Day
184,2021-06-07,Chile,Battle of Arica
185,2021-06-26,Chile,Saint Peter and Saint Paul
186,2021-07-16,Chile,Our Lady of Mount Carmel
187,2021-08-10,Chile,Saint Lawrence
188,2021-08-10,Chile,National Miner's Day
189,2021-08-15,Chile,Assumption of Mary
190,2021-09-18,Chile,National holiday
191,2021-09-19,Chile,Army Day
192,2021-09-20,Chile,Fiesta de La Pampilla
193,2021-09-21,Chile,National Possession of the Strait of Magellan
194,2021-10-02,Chile,Los Ríos Region Anniversary
195,2021-10-09,Chile,Columbus Day
196,2021-10-27,Chile,Reformation Day
197,2021-11-01,Chile,All Saints
198,2021-11-19,Chile,"Presidential, parliamentary and regional elections"
199,2021-12-08,Chile,Immaculate Conception
200,2021-12-25,Chile,Christmas Day
201,2021-01-01,Clipperton Island,New Year's Day
202,2021-01-06,Clipperton Island,Epiphany
203,2021-02-15,Clipperton Island,Carnival
204,2021-02-16,Clipperton Island,Carnival
205,2021-03-19,Clipperton Island,Saint Joseph's Day
206,2021-04-01,Clipperton Island,Maundy Thursday
207,2021-04-02,Clipperton Island,Good Friday
208,2021-05-01,Clipperton Island,Labour Day
209,2021-05-13,Clipperton Island,Ascension Day
210,2021-06-03,Clipperton Island,Corpus Christi
211,2021-06-11,Clipperton Island,Sacred Heart
212,2021-06-29,Clipperton Island,Saint Peter and Saint Paul
213,2021-07-20,Clipperton Island,Declaration of Independence
214,2021-08-07,Clipperton Island,Battle of Boyacá
215,2021-08-15,Clipperton Island,Assumption of Mary
216,2021-10-12,Clipperton Island,Columbus Day
217,2021-11-01,Clipperton Island,All Saints’ Day
218,2021-11-11,Clipperton Island,Independence of Cartagena
219,2021-12-08,Clipperton Island,Immaculate Conception
220,2021-12-25,Clipperton Island,Christmas Day
221,2021-01-01,Croatia,New Year's Day
222,2021-01-06,Croatia,Epiphany
223,2021-04-04,Croatia,Easter Sunday
224,2021-04-05,Croatia,Easter Monday
225,2021-05-01,Croatia,International Workers' Day
226,2021-05-30,Croatia,National Day
227,2021-06-03,Croatia,Corpus Christi
228,2021-06-22,Croatia,Anti-Fascist Struggle Day
229,2021-08-05,Croatia,Victory and Homeland Thanksgiving Day and the Day of Croatian defenders
230,2021-08-15,Croatia,Assumption Day
231,2021-11-01,Croatia,All Saints' Day
232,2021-11-18,Croatia,Remembrance Day
233,2021-12-25,Croatia,Christmas Day
234,2021-12-26,Croatia,St.Stephen's Day
235,2021-01-01,Cyprus,New Year's Day
236,2021-01-06,Cyprus,Epiphany
237,2021-03-15,Cyprus,Green Monday
238,2021-03-25,Cyprus,Greek Independence Day
239,2021-04-01,Cyprus,Cyprus National Day
240,2021-04-30,Cyprus,Good Friday
241,2021-05-01,Cyprus,Labour Day
242,2021-05-03,Cyprus,Easter Monday
243,2021-05-04,Cyprus,Easter Tuesday
244,2021-06-20,Cyprus,Pentecost
245,2021-06-21,Cyprus,Whit Monday
246,2021-08-15,Cyprus,Assumption of the Virgin Mary
247,2021-10-01,Cyprus,Cyprus Independence Day
248,2021-10-28,Cyprus,Ohi Day
249,2021-12-24,Cyprus,Christmas Eve
250,2021-12-25,Cyprus,Christmas Day
251,2021-12-26,Cyprus,St. Stephen's Day
252,2021-01-01,Czech Republic,New Year's Day
253,2021-04-02,Czech Republic,Good Friday
254,2021-04-05,Czech Republic,Easter Monday
255,2021-05-01,Czech Republic,Labour Day
256,2021-05-08,Czech Republic,Liberation Day
257,2021-07-05,Czech Republic,Saints Cyril and Methodius Day
258,2021-07-06,Czech Republic,Jan Hus Day
259,2021-09-28,Czech Republic,St. Wenceslas Day
260,2021-10-28,Czech Republic,Independent Czechoslovak State Day
261,2021-11-17,Czech Republic,Struggle for Freedom and Democracy Day
262,2021-12-24,Czech Republic,Christmas Eve
263,2021-12-25,Czech Republic,Christmas Day
264,2021-12-26,Czech Republic,St. Stephen's Day
265,2021-01-01,Dominican Republic,New Year's Day
266,2021-01-06,Dominican Republic,Day of Kings
267,2021-01-21,Dominican Republic,Our Lady of Altagracia
268,2021-01-26,Dominican Republic,Duarte's Birthday
269,2021-02-27,Dominican Republic,Independence Day
270,2021-04-02,Dominican Republic,Good Friday
271,2021-05-01,Dominican Republic,Labour Day
272,2021-05-28,Dominican Republic,Mother's Day
273,2021-06-03,Dominican Republic,Corpus Christi
274,2021-08-16,Dominican Republic,Restoration Day
275,2021-09-24,Dominican Republic,Our Lady of Mercy
276,2021-11-06,Dominican Republic,Constitution Day
277,2021-12-25,Dominican Republic,Christmas Day
278,2021-01-01,Ecuador,New Year's Day
279,2021-02-15,Ecuador,Carnival
280,2021-02-16,Ecuador,Carnival
281,2021-04-02,Ecuador,Good Friday
282,2021-05-01,Ecuador,International Workers' Day
283,2021-05-24,Ecuador,The Battle of Pichincha
284,2021-08-10,Ecuador,Declaration of Independence of Quito
285,2021-10-09,Ecuador,Independence of Guayaquil
286,2021-11-02,Ecuador,All Souls' Day
287,2021-11-03,Ecuador,Independence of Cuenca
288,2021-12-25,Ecuador,Christmas Day
289,2021-01-07,Egypt,Christmas
290,2021-01-25,Egypt,Revolution Day 2011 National Police Day
291,2021-04-25,Egypt,Sinai Liberation Day
292,2021-05-01,Egypt,Labour Day
293,2021-07-23,Egypt,Revolution Day
294,2021-10-06,Egypt,Armed Forces Day
295,2021-01-01,Finland,New Year's Day
296,2021-01-06,Finland,Epiphany
297,2021-04-02,Finland,Good Friday
298,2021-04-04,Finland,Easter Sunday
299,2021-04-05,Finland,Easter Monday
300,2021-05-01,Finland,May Day
301,2021-05-13,Finland,Ascension Day
302,2021-05-23,Finland,Pentecost
303,2021-06-25,Finland,Midsummer Eve
304,2021-06-26,Finland,Midsummer Day
305,2021-11-06,Finland,All Saints' Day
306,2021-12-06,Finland,Independence Day
307,2021-12-24,Finland,Christmas Eve
308,2021-12-25,Finland,Christmas Day
309,2021-12-26,Finland,St. Stephen's Day
310,2021-01-01,Gambia,New Year's Day
311,2021-02-18,Gambia,Independence Day
312,2021-04-02,Gambia,Good Friday
313,2021-04-05,Gambia,Easter Monday
314,2021-05-01,Gambia,Labour Day
315,2021-05-25,Gambia,Africa Day
316,2021-07-22,Gambia,Revolution Day
317,2021-08-15,Gambia,Assumption Day
318,2021-12-25,Gambia,Christmas Day
319,2021-01-01,Gibraltar,New Year's Day
320,2021-03-08,Gibraltar,Commonwealth Day
321,2021-04-02,Gibraltar,Good Friday
322,2021-04-05,Gibraltar,Easter Monday
323,2021-04-28,Gibraltar,Workers' Memorial Day
324,2021-05-01,Gibraltar,May Day Bank Holiday
325,2021-05-31,Gibraltar,Spring Bank Holiday
326,2021-06-14,Gibraltar,Queen's Birthday
327,2021-08-30,Gibraltar,Summer Bank Holiday
328,2021-09-10,Gibraltar,Gibraltar National Day
329,2021-12-25,Gibraltar,Christmas Day
330,2021-12-26,Gibraltar,St. Stephen's Day
331,2021-01-01,Greece,New Year's Day
332,2021-01-06,Greece,Epiphany
333,2021-03-15,Greece,Clean Monday
334,2021-03-25,Greece,Annunciation
335,2021-03-25,Greece,Independence Day
336,2021-04-30,Greece,Good Friday
337,2021-05-01,Greece,Labour Day
338,2021-05-02,Greece,Easter Sunday
339,2021-05-03,Greece,Easter Monday
340,2021-06-20,Greece,Pentecost
341,2021-06-21,Greece,Whit Monday
342,2021-08-15,Greece,Assumption Day
343,2021-10-28,Greece,Ochi Day
344,2021-12-25,Greece,Christmas Day
345,2021-12-26,Greece,St. Stephen's Day
346,2021-01-01,Greenland,New Year's Day
347,2021-01-06,Greenland,Epiphany
348,2021-04-01,Greenland,Maundy Thursday
349,2021-04-02,Greenland,Good Friday
350,2021-04-04,Greenland,Easter Sunday
351,2021-04-05,Greenland,Easter Monday
352,2021-04-30,Greenland,Store Bededag
353,2021-05-13,Greenland,Ascension Day
354,2021-05-24,Greenland,Whit Monday
355,2021-06-21,Greenland,Ullortuneq
356,2021-12-24,Greenland,Christmas Eve
357,2021-12-25,Greenland,Christmas Day
358,2021-12-26,Greenland,St. Stephen's Day
359,2021-12-31,Greenland,New Year's Eve
360,2021-01-01,Guernsey,New Year's Day
361,2021-04-02,Guernsey,Good Friday
362,2021-04-05,Guernsey,Easter Monday
363,2021-05-01,Guernsey,Early May Bank Holiday
364,2021-05-09,Guernsey,Liberation Day
365,2021-05-31,Guernsey,Spring Bank Holiday
366,2021-08-30,Guernsey,Summer Bank Holiday
367,2021-12-25,Guernsey,Christmas Day
368,2021-12-26,Guernsey,St. Stephen's Day
369,2021-01-01,Guyana,New Year's Day
370,2021-02-23,Guyana,Republic Day
371,2021-04-02,Guyana,Good Friday
372,2021-04-05,Guyana,Easter Monday
373,2021-05-01,Guyana,Labour Day
374,2021-05-05,Guyana,Arrival Day
375,2021-05-26,Guyana,Independence Day
376,2021-07-05,Guyana,Caricom Day
377,2021-08-01,Guyana,Emancipation Day
378,2021-12-25,Guyana,Christmas Day
379,2021-12-26,Guyana,Boxing Day
380,2021-01-01,Vatican City,"Solemnity of Mary, Mother of God"
381,2021-01-06,Vatican City,Epiphany
382,2021-02-11,Vatican City,Anniversary of the foundation of Vatican City
383,2021-03-13,Vatican City,Anniversary of the election of Pope Francis
384,2021-03-19,Vatican City,Saint Joseph's Day
385,2021-04-05,Vatican City,Easter Monday
386,2021-04-23,Vatican City,Saint George
387,2021-05-01,Vatican City,Saint Joseph the Worker
388,2021-06-29,Vatican City,Saints Peter and Paul
389,2021-08-15,Vatican City,Assumption Day
390,2021-09-08,Vatican City,Nativity of Mary
391,2021-11-01,Vatican City,All Saints
392,2021-12-08,Vatican City,Immaculate Conception
393,2021-12-25,Vatican City,Christmas Day
394,2021-12-26,Vatican City,St. Stephen's Day
395,2021-01-01,Howland Island,New Year's Day
396,2021-03-15,Howland Island,1848 Revolution Memorial Day
397,2021-04-02,Howland Island,Good Friday
398,2021-04-04,Howland Island,Easter Sunday
399,2021-04-05,Howland Island,Easter Monday
400,2021-05-01,Howland Island,Labour day
401,2021-05-23,Howland Island,Pentecost
402,2021-05-24,Howland Island,Whit Monday
403,2021-08-20,Howland Island,State Foundation Day
404,2021-10-23,Howland Island,1956 Revolution Memorial Day
405,2021-11-01,Howland Island,All Saints Day
